Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,216903.00,209713.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,219206.00,223066.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,238159.00,238159.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,407395.00,407395.00
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,425825.00,422863.00
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,489390.00,487460.00
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,495806.00,497180.00
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,531758.00,531758.00
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,556295.00,559190.00
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,730762.00,730762.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,756525.00,770454.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,839139.00,854615.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,1595419.00,1595419.00
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1639174.00,1627578.00
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,1814093.00,1801445.00
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2066899.00,2072501.00
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,2077823.00,2077823.00
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,2112542.00,2118409.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,2509040.00,2555304.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,2879571.00,2930659.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,3024312.00,3024312.00
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,3322795.00,3090880.00
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,5516936.00,5477878.00
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,6775915.00,6749093.00
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,7043155.00,7062256.00
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,8088344.00,8130589.00
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,13467241.00,13716256.00
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,29119054.00,28914791.00
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,33914439.00,34008508.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Maintenance - Radio Services,6682.00,6682.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Maintenance - Radio Services,12500.00,12500.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Fixed Assets,Fixed Assets,EQUIPMENT,18020.00,18020.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Radio Services,33480.00,33480.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,110169.00,108364.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,113294.00,113294.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,120724.00,118204.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,121920.00,121920.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,123649.00,123649.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,129535.00,122212.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,144898.00,134108.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,298903.00,298903.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,326139.00,320908.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,333137.00,333137.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,345090.00,338335.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,349754.00,349754.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,381276.00,360036.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,392416.00,368051.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,394217.00,394217.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,440821.00,436028.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,450407.00,450407.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,476963.00,471977.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,637356.00,637356.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,670000.00,670000.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,746197.00,746197.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,799690.00,799690.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Other Financing Uses,Other Financing Uses,OPERATING TRANSFERS - OUT,829270.00,829270.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1025451.00,1025451.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1250328.00,1250328.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1276732.00,1256787.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1311224.00,1311224.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,1377353.00,1355011.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,1409030.00,1409030.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,1599308.00,2428578.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,1613968.00,1523263.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1619533.00,1531099.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,2000000.00,2000000.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,2034106.00,2034106.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,2103965.00,2726272.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,2430293.00,2430293.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Other Financing Uses,Other Financing Uses,OPERATING TRANSFERS - OUT,3317080.00,3317080.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Other Financing Uses,Other Financing Uses,OPERATING TRANSFERS - OUT,3317080.00,3317080.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,4173486.00,4107247.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,4348376.00,4348376.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,4578220.00,4488814.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,4871430.00,4871430.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,4995778.00,5046516.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,5321857.00,5165377.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,5453187.00,5151637.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,5737064.00,5381501.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,14021000.00,14021000.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,14100000.00,14100000.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,16653982.00,16653982.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,17684788.00,17688512.00
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,22371491.00,22013174.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,22375997.00,22559788.00
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,22851168.00,22851168.00
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,26149903.00,24695827.00
2013,Public Assistance,Children and Family Services,Assistance Payments,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-1400519.00,-1400519.00
2014,Public Assistance,Children and Family Services,Assistance Payments,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-1148705.00,-1148705.00
2015,Public Assistance,Children and Family Services,Assistance Payments,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-502455.00,-502455.00
2013,Public Assistance,Children and Family Services,Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,73796153.00,73796153.00
2014,Public Assistance,Children and Family Services,Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,82414528.00,82414528.00
2015,Public Assistance,Children and Family Services,Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,91392509.00,91392509.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,478.00,478.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,1338.00,1338.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1363.00,1363.00
2014,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1551.00,1551.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,1583.00,1583.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,2600.00,2600.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,6320.00,6320.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,6768.00,6768.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,6910.00,6910.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,19736.00,19736.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,109160.00,109160.00
2013,Public Assistance,Children and Family Services,Social Services Grants,Other Financing Uses,Other Financing Uses,OPERATING TRANSFERS - OUT,214730.00,214730.00
2015,Public Assistance,Children and Family Services,Social Services Grants,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,360000.00,360000.00
2014,Public Assistance,Children and Family Services,Social Services Grants,Other Charges,Other Charges,OTHER CHARGES,369435.00,369435.00
2015,Public Assistance,Children and Family Services,Social Services Grants,Other Charges,Other Charges,OTHER CHARGES,369435.00,369435.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Intra-Fund Transfer,Intra-Fund Transfers,CREDIT FOR INTERDEPT SER REND,-26440.00,-26440.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Intra-Fund Transfer,Intra-Fund Transfers,CREDIT FOR INTERDEPT SER REND,-25000.00,-25000.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Maintenance - Radio Services,1909.00,1909.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,199937.00,200754.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,201529.00,202632.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,212024.00,212024.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,268807.00,268807.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,269174.00,270315.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,279327.00,280867.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,285998.00,285998.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,297932.00,297932.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,300329.00,300329.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,300329.00,300329.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,545283.00,549143.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,547535.00,550430.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,583860.00,586228.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,588629.00,591826.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,593531.00,593531.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,594531.00,594531.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,625482.00,625482.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,729256.00,729256.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,952636.00,952636.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,1369626.00,1369626.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1411263.00,1411263.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1939410.00,1939410.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2260671.00,2269764.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2407070.00,2407070.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2468310.00,2481610.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,2490232.00,2500344.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,2510181.00,2523836.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,2667259.00,2667259.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Other Charges,Other Charges,OTHER CHARGES,2952892.00,2952892.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Other Charges,Other Charges,OTHER CHARGES,2958163.00,2958163.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Other Charges,Other Charges,OTHER CHARGES,3292993.00,3292993.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,4971600.00,4971600.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,7612870.00,7643497.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,7622559.00,7662792.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,7868077.00,7868077.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,7971204.00,8027531.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,7992900.00,7992900.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,8415085.00,8460438.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,39997033.00,40159208.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,40315791.00,40534771.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,42850814.00,42850814.00
2013,Public Assistance,Children and Family Services,Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,49126488.00,49126488.00
2014,Public Assistance,Children and Family Services,Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,52204678.00,52204678.00
2015,Public Assistance,Children and Family Services,Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,55306286.00,53618628.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,11600.00,11600.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,12090.00,12090.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,13250.00,13250.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Overtime,45053.00,45053.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Overtime,45562.00,45598.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Overtime,46778.00,46778.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,68821.00,68821.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,70633.00,70647.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,71256.00,71256.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,119756.00,119756.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,124644.00,124644.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,128945.00,155290.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,131976.00,131976.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,164000.00,164000.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,166400.00,166400.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,170000.00,170000.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,187007.00,187007.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,193553.00,193553.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,210043.00,210043.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,216315.00,216435.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,216541.00,216541.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,242159.00,242159.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,256029.00,256029.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,256029.00,256029.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,312887.00,312887.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,322397.00,322397.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,386771.00,386771.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,455031.00,455031.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,459242.00,465171.00
